customer_id,age,gender,plan_type,signup_date,last_payment_date,num_payments,num_logins,num_streams,num_devices,payment_method,city,areacode,num_support_calls,monthly_price,avg_time_on_netflix,payment_failure,preferred_language,watch_history,churn
29,37,female,standard,2021-01-05 01:59:49.917983596,2021-01-05 01:59:49.917983596,10,7,628,2,credit_card,Houston,105,2,17.46516035351106,59.707341331100984,True,English,drama,0
30,47,female,basic,2021-01-05 05:29:49.557911582,2021-01-05 05:29:49.557911582,8,30,462,3,debit_card,Los Angeles,102,9,10.27220182589615,111.36571933316175,True,French,action,0
31,40,female,basic,2021-01-05 08:59:49.197839567,2021-01-05 08:59:49.197839567,6,6,798,4,debit_card,Miami,108,6,8.267796611070366,18.89057991865571,False,English,comedy,0
32,54,male,basic,2021-01-05 12:29:48.837767553,2021-01-05 12:29:48.837767553,10,14,800,1,paypal,New York,105,7,17.014269875660062,101.72328131152669,False,Spanish,action,1
33,47,male,basic,2021-01-05 15:59:48.477695539,2021-01-05 15:59:48.477695539,2,17,843,4,credit_card,New York,107,4,12.817931921812434,55.10719275466068,False,French,drama,1
34,32,female,standard,2021-01-05 19:29:48.117623524,2021-01-05 19:29:48.117623524,4,1,170,2,paypal,Houston,101,0,5.946080527508287,29.06681368784506,True,Spanish,comedy,1
35,42,male,premium,2021-01-05 22:59:47.757551510,2021-01-05 22:59:47.757551510,11,7,504,3,paypal,New York,102,1,5.100211318143826,58.465172141292996,True,French,drama,1
36,53,male,premium,2021-01-06 02:29:47.397479495,2021-01-06 02:29:47.397479495,10,19,916,5,debit_card,Miami,104,6,18.97026612463725,45.28857390099783,True,English,documentary,0
37,45,male,standard,2021-01-06 05:59:47.037407481,2021-01-06 05:59:47.037407481,4,6,234,5,debit_card,Houston,103,8,17.42485189227446,32.89137912212228,False,Spanish,comedy,1
38,34,female,basic,2021-01-06 09:29:46.677335467,2021-01-06 09:29:46.677335467,4,15,401,1,debit_card,Miami,100,1,14.039428275962578,109.39361851544325,True,English,drama,1
39,31,female,premium,2021-01-06 12:59:46.317263452,2021-01-06 12:59:46.317263452,6,12,366,4,debit_card,New York,100,9,19.359171177979213,53.22249789519599,False,English,comedy,1
40,52,male,basic,2021-01-06 16:29:45.957191438,2021-01-06 16:29:45.957191438,11,16,402,2,paypal,Houston,109,0,9.979747712294898,40.44867968766752,False,Spanish,drama,1
41,35,female,standard,2021-01-06 19:59:45.597119423,2021-01-06 19:59:45.597119423,12,7,1,5,credit_card,Miami,102,3,15.310873054505775,63.75373153863226,False,French,action,0
42,26,male,basic,2021-01-06 23:29:45.237047409,2021-01-06 23:29:45.237047409,1,16,822,4,debit_card,Miami,108,3,16.049094960714072,12.60250437214802,False,Spanish,comedy,0
43,58,female,standard,2021-01-07 02:59:44.876975395,2021-01-07 02:59:44.876975395,12,4,700,4,paypal,Los Angeles,100,6,18.68575738777772,22.044499997055368,True,Spanish,drama,0
44,43,male,standard,2021-01-07 06:29:44.516903380,2021-01-07 06:29:44.516903380,9,5,225,5,paypal,Los Angeles,105,7,7.334884347055537,32.34896657620437,True,English,documentary,1
45,54,male,standard,2021-01-07 09:59:44.156831366,2021-01-07 09:59:44.156831366,1,6,704,5,credit_card,Los Angeles,108,7,12.1048747063622,112.33785708695201,True,English,documentary,0
46,48,female,standard,2021-01-07 13:29:43.796759351,2021-01-07 13:29:43.796759351,5,29,649,5,debit_card,Miami,109,6,18.0791346143261,108.41011280473623,True,Spanish,drama,0
47,45,female,standard,2021-01-07 16:59:43.436687337,2021-01-07 16:59:43.436687337,10,8,331,4,credit_card,Houston,100,8,16.733536421225764,77.40190890877105,False,French,documentary,0
48,33,female,premium,2021-01-07 20:29:43.076615323,2021-01-07 20:29:43.076615323,7,8,806,4,credit_card,Houston,100,8,13.573494959147643,83.75739746242284,True,French,action,1
49,40,female,standard,2021-01-07 23:59:42.716543308,2021-01-07 23:59:42.716543308,1,15,238,1,credit_card,Los Angeles,101,6,6.178128347741395,20.490530639241836,True,English,documentary,1
50,20,male,basic,2021-01-08 03:29:42.356471294,2021-01-08 03:29:42.356471294,4,19,195,3,credit_card,Houston,109,3,5.7392538096193055,34.14452800315195,True,English,documentary,0
51,54,female,standard,2021-01-08 06:59:41.996399279,2021-01-08 06:59:41.996399279,11,30,753,3,credit_card,New York,103,6,14.091821374260382,101.64260983760875,False,French,documentary,0
52,41,male,premium,2021-01-08 10:29:41.636327265,2021-01-08 10:29:41.636327265,7,1,424,4,debit_card,Miami,107,4,9.931239861751521,116.76692514073937,False,French,action,0
53,22,male,basic,2021-01-08 13:59:41.276255251,2021-01-08 13:59:41.276255251,12,1,718,2,paypal,New York,106,2,9.445708969970992,87.75275623702775,False,Spanish,documentary,1
54,19,female,premium,2021-01-08 17:29:40.916183236,2021-01-08 17:29:40.916183236,6,7,260,3,credit_card,New York,103,9,7.940761183556487,67.09747465596487,True,English,drama,0
55,48,female,basic,2021-01-08 20:59:40.556111222,2021-01-08 20:59:40.556111222,6,27,727,2,debit_card,Miami,103,8,18.07665097508944,16.8676131111708,False,English,action,1
56,57,male,premium,2021-01-09 00:29:40.196039207,2021-01-09 00:29:40.196039207,5,1,780,4,paypal,Miami,106,3,15.027459019178217,11.80786851140447,True,English,documentary,0
57,47,female,premium,2021-01-09 03:59:39.835967193,2021-01-09 03:59:39.835967193,7,18,806,3,paypal,New York,100,9,17.02716744519048,97.95292303090872,False,French,action,1
58,44,female,premium,2021-01-09 07:29:39.475895179,2021-01-09 07:29:39.475895179,3,20,439,3,paypal,Houston,109,5,15.938043251382748,35.04673600379008,True,English,documentary,1
59,56,female,standard,2021-01-09 10:59:39.115823164,2021-01-09 10:59:39.115823164,5,10,479,3,debit_card,New York,100,2,9.281366033821934,42.93569728968009,False,Spanish,documentary,1
60,26,female,premium,2021-01-09 14:29:38.755751150,2021-01-09 14:29:38.755751150,8,23,474,4,debit_card,Houston,108,4,18.792438517635063,36.46507140006864,False,Spanish,drama,0
61,58,male,basic,2021-01-09 17:59:38.395679135,2021-01-09 17:59:38.395679135,1,19,414,1,paypal,New York,106,10,19.482182464608975,22.02873836081531,False,French,comedy,0
62,46,female,basic,2021-01-09 21:29:38.035607121,2021-01-09 21:29:38.035607121,10,13,32,4,paypal,Miami,102,4,14.836786430911795,101.97213024436624,True,English,documentary,0
63,54,female,basic,2021-01-10 00:59:37.675535107,2021-01-10 00:59:37.675535107,1,15,165,4,debit_card,Houston,105,7,17.214206548829853,68.52186049872446,True,Spanish,drama,1
64,32,male,standard,2021-01-10 04:29:37.315463092,2021-01-10 04:29:37.315463092,11,3,337,4,credit_card,Los Angeles,103,9,12.610120288156399,32.23143347953477,True,French,drama,0
65,47,male,standard,2021-01-10 07:59:36.955391078,2021-01-10 07:59:36.955391078,2,4,147,4,paypal,Miami,102,4,13.334517285563386,55.246704740351014,False,French,comedy,1
66,40,male,standard,2021-01-10 11:29:36.595319063,2021-01-10 11:29:36.595319063,10,11,782,2,debit_card,Miami,106,3,13.535747023396313,99.9176426918392,False,Spanish,comedy,0
67,38,female,basic,2021-01-10 14:59:36.235247049,2021-01-10 14:59:36.235247049,4,18,196,1,credit_card,New York,107,5,8.397431426426692,35.267082893978454,False,Spanish,comedy,0
68,36,female,basic,2021-01-10 18:29:35.875175035,2021-01-10 18:29:35.875175035,7,25,76,5,credit_card,New York,105,2,16.70074571962608,19.394461109037678,True,French,action,1
69,31,male,standard,2021-01-10 21:59:35.515103020,2021-01-10 21:59:35.515103020,11,18,519,4,debit_card,Houston,109,1,17.066685315159347,111.79353366498644,True,Spanish,action,1
70,19,female,basic,2021-01-11 01:29:35.155031006,2021-01-11 01:29:35.155031006,11,12,132,5,paypal,Miami,106,0,12.236232689685254,65.7890657232874,False,English,action,0
71,28,female,basic,2021-01-11 04:59:34.794958991,2021-01-11 04:59:34.794958991,11,13,164,2,credit_card,Houston,102,5,10.232961163323196,90.78531623381257,False,Spanish,comedy,1
72,49,female,basic,2021-01-11 08:29:34.434886977,2021-01-11 08:29:34.434886977,12,19,616,2,credit_card,Miami,109,5,15.260993543072518,101.36259449230167,False,Spanish,drama,0
73,26,male,standard,2021-01-11 11:59:34.074814963,2021-01-11 11:59:34.074814963,8,12,772,3,paypal,Miami,106,0,13.224112659327062,49.858476235546775,True,Spanish,comedy,0
74,47,female,premium,2021-01-11 15:29:33.714742948,2021-01-11 15:29:33.714742948,11,19,632,3,paypal,Los Angeles,101,6,5.265999546982646,42.354666417212755,False,French,comedy,0
75,51,male,premium,2021-01-11 18:59:33.354670934,2021-01-11 18:59:33.354670934,7,20,106,1,credit_card,Los Angeles,104,4,18.75124375801349,94.19371460133222,True,English,drama,1
76,51,female,premium,2021-01-11 22:29:32.994598919,2021-01-11 22:29:32.994598919,1,7,53,3,credit_card,New York,102,2,16.147022685892754,35.327288267906994,False,French,comedy,1
77,51,female,standard,2021-01-12 01:59:32.634526905,2021-01-12 01:59:32.634526905,9,3,897,1,paypal,Los Angeles,100,6,12.349241671299287,94.70400282042024,False,English,comedy,0
78,56,female,premium,2021-01-12 05:29:32.274454891,2021-01-12 05:29:32.274454891,11,26,725,5,debit_card,Los Angeles,106,3,18.29252549121204,57.55526111796273,True,French,drama,1
79,19,female,basic,2021-01-12 08:59:31.914382876,2021-01-12 08:59:31.914382876,4,9,33,1,debit_card,Houston,101,0,19.544200427721933,78.25501551723477,True,French,drama,0
80,28,female,premium,2021-01-12 12:29:31.554310862,2021-01-12 12:29:31.554310862,11,18,804,5,debit_card,Los Angeles,107,9,7.709643160747208,34.854941470866535,True,English,documentary,0
81,32,female,standard,2021-01-12 15:59:31.194238847,2021-01-12 15:59:31.194238847,6,26,514,1,credit_card,Los Angeles,106,4,17.030661365771834,90.77637867742128,True,English,documentary,0
82,55,male,basic,2021-01-12 19:29:30.834166833,2021-01-12 19:29:30.834166833,3,3,43,3,debit_card,Los Angeles,107,2,17.08933680077554,91.94707911629447,False,French,documentary,0
83,42,male,premium,2021-01-12 22:59:30.474094819,2021-01-12 22:59:30.474094819,9,21,132,3,debit_card,Houston,106,8,9.721848341971963,33.783503431728455,True,French,documentary,1
84,53,male,basic,2021-01-13 02:29:30.114022804,2021-01-13 02:29:30.114022804,4,4,37,2,credit_card,Los Angeles,107,3,5.7110215867406815,38.8592108896154,False,English,drama,0
85,41,male,basic,2021-01-13 05:59:29.753950790,2021-01-13 05:59:29.753950790,2,18,521,3,debit_card,New York,105,4,5.484793375280577,44.36128531261334,False,English,drama,1
86,32,female,premium,2021-01-13 09:29:29.393878775,2021-01-13 09:29:29.393878775,2,13,412,1,credit_card,Houston,100,0,14.293239413725653,57.339788817634776,False,French,action,0
87,32,female,standard,2021-01-13 12:59:29.033806761,2021-01-13 12:59:29.033806761,6,10,779,3,debit_card,Los Angeles,102,1,17.464949699870946,24.33515121374983,True,English,documentary,1
88,47,male,standard,2021-01-13 16:29:28.673734747,2021-01-13 16:29:28.673734747,12,26,942,4,debit_card,Los Angeles,109,6,6.290719677521218,48.937738343889094,False,Spanish,documentary,1
89,47,female,standard,2021-01-13 19:59:28.313662732,2021-01-13 19:59:28.313662732,4,10,340,3,debit_card,New York,105,4,9.729989291230481,68.63679312724916,True,French,action,0
90,20,female,basic,2021-01-13 23:29:27.953590718,2021-01-13 23:29:27.953590718,2,14,717,5,debit_card,Miami,107,3,19.7129043390211,26.919052178574965,False,French,action,0
91,19,male,basic,2021-01-14 02:59:27.593518703,2021-01-14 02:59:27.593518703,11,30,450,5,credit_card,Miami,100,7,10.613359439620819,87.41406784710152,True,French,documentary,0
92,42,male,standard,2021-01-14 06:29:27.233446689,2021-01-14 06:29:27.233446689,9,29,525,2,debit_card,Houston,103,1,16.285803685181207,20.98978357227191,True,English,drama,1
93,24,female,standard,2021-01-14 09:59:26.873374675,2021-01-14 09:59:26.873374675,9,7,387,1,debit_card,New York,106,1,9.088580111826214,23.455905305809587,False,English,action,1
94,53,female,basic,2021-01-14 13:29:26.513302660,2021-01-14 13:29:26.513302660,2,26,129,5,credit_card,Los Angeles,100,0,8.684794395353789,11.99847011550821,False,Spanish,drama,0
95,44,male,standard,2021-01-14 16:59:26.153230646,2021-01-14 16:59:26.153230646,7,22,489,5,debit_card,Houston,105,6,13.54169272173721,32.5602440623815,True,French,documentary,0
96,24,female,basic,2021-01-14 20:29:25.793158631,2021-01-14 20:29:25.793158631,6,13,723,2,paypal,New York,103,6,11.304253175764238,108.52252538696891,True,French,comedy,1
97,26,male,standard,2021-01-14 23:59:25.433086617,2021-01-14 23:59:25.433086617,3,10,87,2,debit_card,New York,107,8,15.240450957071952,12.613963473081782,False,French,comedy,0
98,22,female,basic,2021-01-15 03:29:25.073014603,2021-01-15 03:29:25.073014603,10,18,746,3,paypal,Houston,101,9,10.899923117236082,76.93174250739496,False,French,drama,0
99,47,female,basic,2021-01-15 06:59:24.712942588,2021-01-15 06:59:24.712942588,10,1,54,5,debit_card,Miami,109,3,11.118294614983274,107.73104655141283,False,French,comedy,1
100,34,female,standard,2021-01-15 10:29:24.352870574,2021-01-15 10:29:24.352870574,5,9,438,2,credit_card,Houston,104,7,15.927268000904483,89.53359751630744,True,Spanish,comedy,1
101,58,male,basic,2021-01-15 13:59:23.992798559,2021-01-15 13:59:23.992798559,11,6,193,5,paypal,Houston,100,10,6.064413261636634,25.284200206783538,False,English,action,1
102,45,male,standard,2021-01-15 17:29:23.632726545,2021-01-15 17:29:23.632726545,5,11,684,5,debit_card,Houston,107,1,12.253412191308955,117.6400600631689,True,English,drama,1
103,27,female,basic,2021-01-15 20:59:23.272654531,2021-01-15 20:59:23.272654531,5,10,286,2,credit_card,New York,100,6,17.613481608210208,64.39736406300065,True,Spanish,comedy,0
104,20,female,premium,2021-01-16 00:29:22.912582516,2021-01-16 00:29:22.912582516,9,23,351,1,credit_card,Houston,101,5,5.308887439301782,71.39659129100384,True,Spanish,documentary,0
105,28,female,premium,2021-01-16 03:59:22.552510502,2021-01-16 03:59:22.552510502,10,25,321,1,credit_card,Miami,100,8,12.432782656866515,74.53108379706636,True,French,action,1
106,42,female,basic,2021-01-16 07:29:22.192438487,2021-01-16 07:29:22.192438487,11,13,299,4,debit_card,Houston,105,1,6.537642531176671,56.27354074899834,False,Spanish,action,1
107,25,male,basic,2021-01-16 10:59:21.832366473,2021-01-16 10:59:21.832366473,3,21,710,1,debit_card,Houston,103,5,18.127332922127465,71.41393664470712,False,Spanish,drama,1
108,45,male,standard,2021-01-16 14:29:21.472294459,2021-01-16 14:29:21.472294459,2,25,971,5,credit_card,New York,109,5,6.882200381875734,96.32550320735199,True,Spanish,action,1
109,30,female,standard,2021-01-16 17:59:21.112222444,2021-01-16 17:59:21.112222444,9,9,453,5,credit_card,Miami,102,9,10.425566810899975,25.407678631766146,False,French,documentary,1
110,39,female,basic,2021-01-16 21:29:20.752150430,2021-01-16 21:29:20.752150430,2,27,596,5,paypal,Miami,106,7,15.63266333680733,100.57888938799226,True,French,action,1
111,22,female,standard,2021-01-17 00:59:20.392078415,2021-01-17 00:59:20.392078415,11,27,793,1,paypal,Miami,108,6,6.707619694661035,38.531165827784854,False,Spanish,drama,0
112,50,female,standard,2021-01-17 04:29:20.032006401,2021-01-17 04:29:20.032006401,3,25,984,4,paypal,Houston,106,3,17.24781792538984,36.50069697739602,False,French,documentary,0
113,59,male,premium,2021-01-17 07:59:19.671934387,2021-01-17 07:59:19.671934387,9,8,356,3,paypal,Los Angeles,106,5,7.688119285134209,119.75716850758448,False,French,documentary,1
114,51,male,basic,2021-01-17 11:29:19.311862372,2021-01-17 11:29:19.311862372,8,18,170,5,credit_card,New York,108,5,7.1716243289597585,55.685912689632524,True,English,comedy,0
115,22,male,basic,2021-01-17 14:59:18.951790358,2021-01-17 14:59:18.951790358,7,19,747,4,paypal,Los Angeles,102,3,13.531630352801319,65.87294685091186,True,French,comedy,1
116,49,female,premium,2021-01-17 18:29:18.591718343,2021-01-17 18:29:18.591718343,2,5,90,2,credit_card,Los Angeles,104,8,17.206606641617856,87.77171253467408,True,Spanish,comedy,1
117,30,female,standard,2021-01-17 21:59:18.231646329,2021-01-17 21:59:18.231646329,7,23,784,1,debit_card,Los Angeles,104,0,7.241711391804213,32.55714680022212,True,French,documentary,0
118,50,female,premium,2021-01-18 01:29:17.871574315,2021-01-18 01:29:17.871574315,1,30,686,3,paypal,Houston,101,7,7.298929981336121,55.65823540725903,False,Spanish,action,0
119,23,male,basic,2021-01-18 04:59:17.511502300,2021-01-18 04:59:17.511502300,5,15,918,2,debit_card,New York,106,3,7.956505872951936,10.851445643819192,False,Spanish,drama,0
120,19,male,basic,2021-01-18 08:29:17.151430286,2021-01-18 08:29:17.151430286,2,26,315,4,paypal,Houston,103,1,19.37145703053814,41.83825323025623,False,Spanish,drama,0
121,32,female,basic,2021-01-18 11:59:16.791358271,2021-01-18 11:59:16.791358271,12,20,827,2,paypal,Miami,107,8,16.67970233196283,61.28158414146177,True,English,comedy,1
122,58,male,basic,2021-01-18 15:29:16.431286257,2021-01-18 15:29:16.431286257,1,9,330,2,credit_card,Miami,109,3,6.8863181896137045,50.57751519972929,False,French,action,1
123,55,female,premium,2021-01-18 18:59:16.071214243,2021-01-18 18:59:16.071214243,7,2,652,5,paypal,Houston,104,4,6.695695869857914,35.00724786011234,False,French,documentary,1
124,52,female,premium,2021-01-18 22:29:15.711142228,2021-01-18 22:29:15.711142228,12,11,748,5,paypal,New York,101,8,12.627299769968246,27.948527068383914,True,French,drama,1
125,58,male,basic,2021-01-19 01:59:15.351070214,2021-01-19 01:59:15.351070214,7,16,157,1,credit_card,Houston,102,4,13.037132890978963,60.66412166185744,True,Spanish,comedy,1
126,18,male,standard,2021-01-19 05:29:14.990998199,2021-01-19 05:29:14.990998199,1,7,414,3,credit_card,Houston,101,0,16.316114055002856,57.55150333961507,True,Spanish,drama,0
127,54,male,basic,2021-01-19 08:59:14.630926185,2021-01-19 08:59:14.630926185,11,4,433,2,debit_card,Houston,105,5,12.676167814559646,101.27663825889158,False,English,comedy,0
128,20,male,basic,2021-01-19 12:29:14.270854171,2021-01-19 12:29:14.270854171,12,18,434,4,debit_card,Los Angeles,102,2,9.247764182462905,65.05316103453772,False,French,drama,0
129,55,male,premium,2021-01-19 15:59:13.910782156,2021-01-19 15:59:13.910782156,11,27,588,2,debit_card,Miami,106,9,7.184544297265047,62.32312517968174,True,French,documentary,0
130,54,female,basic,2021-01-19 19:29:13.550710142,2021-01-19 19:29:13.550710142,7,12,122,2,credit_card,Houston,102,4,9.818758244214127,51.11072195405655,False,Spanish,comedy,1
131,27,female,premium,2021-01-19 22:59:13.190638127,2021-01-19 22:59:13.190638127,3,8,89,1,paypal,New York,108,9,11.82508629880754,12.71100040964642,False,Spanish,drama,0
132,51,male,standard,2021-01-20 02:29:12.830566113,2021-01-20 02:29:12.830566113,3,12,654,5,credit_card,Los Angeles,104,10,10.515327995773838,54.15891265337354,False,French,action,1
133,51,female,basic,2021-01-20 05:59:12.470494099,2021-01-20 05:59:12.470494099,3,13,472,5,credit_card,Houston,106,5,13.789630311960153,32.90708950536913,False,Spanish,action,1
134,27,male,premium,2021-01-20 09:29:12.110422084,2021-01-20 09:29:12.110422084,2,12,488,1,debit_card,Houston,108,4,6.6978296234996435,84.67905370776575,True,French,comedy,0
135,39,male,standard,2021-01-20 12:59:11.750350070,2021-01-20 12:59:11.750350070,2,20,890,5,credit_card,Miami,106,0,18.110354221841718,57.83949336828702,True,Spanish,drama,0
136,51,male,standard,2021-01-20 16:29:11.390278055,2021-01-20 16:29:11.390278055,3,18,639,2,paypal,Miami,101,6,19.661231500546155,102.22838643480543,False,Spanish,comedy,0
137,51,female,basic,2021-01-20 19:59:11.030206041,2021-01-20 19:59:11.030206041,5,18,878,5,debit_card,Houston,106,3,19.24592731437975,95.56626961119547,False,English,documentary,1
138,58,female,standard,2021-01-20 23:29:10.670134027,2021-01-20 23:29:10.670134027,12,6,191,1,debit_card,Miami,100,5,16.4692611965843,100.97997287929518,True,French,action,0
139,31,male,basic,2021-01-21 02:59:10.310062012,2021-01-21 02:59:10.310062012,1,20,694,1,debit_card,Los Angeles,103,10,17.399594881937045,37.00256174553867,True,Spanish,documentary,0
140,42,female,standard,2021-01-21 06:29:09.949989998,2021-01-21 06:29:09.949989998,7,17,260,2,paypal,Miami,105,0,15.40390148699218,61.178392347029785,False,French,drama,0
141,40,female,standard,2021-01-21 09:59:09.589917983,2021-01-21 09:59:09.589917983,3,3,41,5,credit_card,Houston,109,7,10.324241691915999,109.9635123528001,True,English,action,1
142,58,male,basic,2021-01-21 13:29:09.229845969,2021-01-21 13:29:09.229845969,2,25,944,2,debit_card,Houston,102,8,19.14559701965551,33.42262041313607,False,French,action,1
143,19,male,premium,2021-01-21 16:59:08.869773954,2021-01-21 16:59:08.869773954,4,24,975,4,credit_card,Miami,109,9,12.093435135317264,50.24842955360214,False,English,action,0
144,51,male,premium,2021-01-21 20:29:08.509701940,2021-01-21 20:29:08.509701940,7,21,548,1,debit_card,Miami,100,7,13.030937088090827,72.16236033621372,False,French,comedy,1
145,52,male,standard,2021-01-21 23:59:08.149629926,2021-01-21 23:59:08.149629926,7,25,764,3,paypal,Miami,100,9,6.415049856251951,74.59935839277838,True,French,action,0
146,41,female,premium,2021-01-22 03:29:07.789557911,2021-01-22 03:29:07.789557911,6,4,238,3,credit_card,Houston,103,8,9.062452226576195,57.16834042130074,False,Spanish,action,0
147,33,male,premium,2021-01-22 06:59:07.429485897,2021-01-22 06:59:07.429485897,10,15,960,1,paypal,New York,101,2,18.474755144997253,61.13397518883173,False,French,comedy,0
148,38,female,premium,2021-01-22 10:29:07.069413882,2021-01-22 10:29:07.069413882,1,21,779,3,credit_card,Houston,103,8,8.569661900776035,53.066546039195686,True,French,drama,1
149,34,male,standard,2021-01-22 13:59:06.709341868,2021-01-22 13:59:06.709341868,5,17,197,2,debit_card,Miami,100,1,18.506505783722353,51.44895127245482,False,French,action,1
150,49,female,basic,2021-01-22 17:29:06.349269854,2021-01-22 17:29:06.349269854,1,4,327,4,debit_card,Houston,103,2,9.001820671675668,105.63295601105345,False,English,drama,1
151,31,female,standard,2021-01-22 20:59:05.989197839,2021-01-22 20:59:05.989197839,11,7,812,5,paypal,Los Angeles,101,1,10.841030543529467,32.22045239323868,True,English,action,1
152,45,male,premium,2021-01-23 00:29:05.629125825,2021-01-23 00:29:05.629125825,5,20,461,4,debit_card,New York,105,9,15.486775890697567,67.1942624497825,False,French,comedy,1
