,user_id,age,gender,country,subscription_type,playlist_count,playlist_followers_count,playlist_genre,artist_count,artist_followers_count,top_artist_genre,song_count,song_genre,album_count,album_genre,skip_rate,play_time,session_count,session_duration,churn
26,26,43,Female,France,Premium,90,30066,Rock,338,43902,Classical,214,Pop,728,Hip Hop,0.506847293271005,23790,43,965,0
27,27,43,Non-binary,Canada,Student,93,68271,Pop,19,432824,Hip Hop,3118,EDM,173,Classical,0.993295193337326,33036,50,106,0
28,28,25,Male,Canada,Family,55,63268,EDM,277,47999,Pop,4465,Pop,794,Classical,0.8590576014758929,5290,4,492,0
29,29,56,Female,France,Family,56,41720,Hip Hop,413,433309,Rock,2054,Pop,924,Pop,0.376755545887286,42220,23,141,0
30,30,43,Male,US,Student,45,45109,Pop,243,264074,Pop,3553,EDM,489,EDM,0.5089547959088226,30286,1,364,0
31,31,22,Male,Australia,Family,81,28195,EDM,109,206187,EDM,7024,Rock,850,Rock,0.3215020661840753,41060,68,331,1
32,32,33,Male,US,Student,96,28287,Pop,364,573881,Hip Hop,2575,Classical,637,Classical,0.3249569763551835,26311,66,550,0
33,33,54,Non-binary,France,Free,72,16391,EDM,361,772759,Hip Hop,2395,EDM,703,Hip Hop,0.08618344623402663,4635,62,665,1
34,34,54,Male,US,Student,49,20253,Pop,103,347166,Pop,7481,Classical,838,Rock,0.508503203416534,15609,4,781,0
35,35,24,Female,France,Student,45,30250,EDM,490,937830,Pop,9594,Hip Hop,897,Hip Hop,0.01386628921958788,35520,63,984,0
36,36,50,Female,Australia,Family,94,27789,Rock,338,459155,Hip Hop,1882,Pop,694,Rock,0.46116051096760824,46917,27,223,1
37,37,32,Female,France,Premium,81,29579,Classical,482,814149,Classical,3750,Rock,280,Pop,0.7549292184498879,4486,58,971,0
38,38,64,Non-binary,US,Family,0,66902,Rock,61,465498,Hip Hop,1174,Classical,811,Classical,0.8615411081444039,39698,42,367,1
39,39,34,Non-binary,France,Free,2,72229,EDM,164,213461,Hip Hop,7340,Pop,539,EDM,0.46553072324015277,30952,86,242,0
40,40,62,Male,Canada,Student,49,43429,Rock,193,104459,Hip Hop,9255,Pop,412,Rock,0.09179499864336504,24731,25,73,0
41,41,36,Male,US,Family,33,35731,Classical,258,676836,Hip Hop,9192,Classical,335,Pop,0.0412211379934867,22435,54,838,1
42,42,52,Non-binary,US,Student,34,63563,Rock,458,498204,Rock,2149,Pop,441,EDM,0.4162768431547659,14382,83,908,1
43,43,28,Female,UK,Free,98,22485,EDM,408,897006,Rock,2078,Pop,98,Classical,0.11409968303803864,26208,85,515,1
44,44,47,Non-binary,France,Free,8,43659,EDM,415,441600,Classical,194,EDM,525,Hip Hop,0.37829401157039444,38317,71,431,0
45,45,47,Male,Australia,Family,12,5879,Rock,272,28864,Pop,7083,Pop,623,Pop,0.01436416967549381,10206,23,701,0
46,46,37,Female,France,Student,99,43792,Hip Hop,234,19821,Classical,3080,Classical,886,Hip Hop,0.3251374504811645,452,52,794,0
47,47,43,Female,France,Student,59,73913,EDM,340,388990,Rock,3568,Classical,79,EDM,0.6982323604195102,28190,16,736,0
48,48,51,Female,US,Premium,5,11755,EDM,67,335094,Pop,9732,Classical,720,EDM,0.6366651289597139,31110,63,294,0
49,49,54,Male,US,Family,21,49189,Classical,163,291210,Classical,6869,Rock,35,Classical,0.6250549160430918,22648,69,185,0
50,50,52,Female,Canada,Family,42,24082,Pop,240,559777,Hip Hop,4867,EDM,477,Rock,0.8203868948665163,15354,33,368,0
51,51,30,Male,Germany,Free,18,76064,Hip Hop,318,864338,Hip Hop,5560,Pop,356,Rock,0.0009081638628926081,21583,96,232,0
52,52,40,Male,France,Family,95,1402,EDM,456,49426,Pop,7706,Classical,31,Hip Hop,0.9239045854099871,46103,88,824,0
53,53,41,Female,Australia,Free,10,39489,Pop,132,528436,Hip Hop,4781,Rock,792,EDM,0.44191107515696926,4100,1,846,1
54,54,40,Female,Germany,Free,38,29033,Pop,107,907875,Pop,5837,EDM,264,Classical,0.8882978116660145,32756,20,657,0
55,55,29,Non-binary,UK,Free,94,75087,Rock,301,976943,EDM,5836,EDM,996,Rock,0.32005047332492187,25196,69,952,0
56,56,27,Female,France,Premium,37,57922,Classical,357,448130,Classical,6424,Rock,456,Rock,0.8084606534051849,8959,22,304,0
57,57,24,Non-binary,France,Student,8,10561,Classical,40,477005,Rock,8238,Hip Hop,616,Rock,0.7842547968888443,18906,62,747,0
58,58,64,Male,Canada,Student,63,41170,Pop,423,120930,Rock,7790,Hip Hop,247,Hip Hop,0.7154165443062213,2539,0,939,1
59,59,52,Female,Australia,Free,97,73913,Pop,94,952240,EDM,189,Classical,326,EDM,0.6261002387879704,2651,46,516,0
60,60,64,Female,Australia,Free,5,34371,EDM,252,399963,Classical,1499,Rock,562,Classical,0.8278988625340715,6030,23,332,0
61,61,60,Female,UK,Premium,28,1133,EDM,71,348940,EDM,282,Rock,170,Rock,0.7947197684072437,27753,40,425,1
62,62,58,Female,US,Free,78,43478,Rock,314,909619,EDM,5429,Rock,139,EDM,0.5709498774937014,44135,56,263,0
63,63,27,Male,France,Free,77,30516,Classical,465,848713,EDM,2108,Classical,217,Hip Hop,0.04834702484978226,30957,50,40,0
64,64,22,Male,Australia,Student,82,75680,Classical,148,707442,Pop,4074,Pop,285,EDM,0.6561343889027734,42261,20,224,0
65,65,59,Male,UK,Family,95,52069,EDM,368,540019,Hip Hop,350,Rock,859,EDM,0.6857070614115267,23913,33,725,0
66,66,29,Female,Australia,Student,1,88643,Rock,272,82028,Rock,9315,EDM,196,Pop,0.09902591773534275,29839,26,305,0
67,67,31,Non-binary,US,Student,41,41397,Hip Hop,54,845079,Pop,3197,Rock,982,Classical,0.5214202340909824,28245,25,221,0
68,68,58,Female,Germany,Family,53,73341,Rock,363,329545,EDM,1520,Hip Hop,755,Classical,0.3047747163605675,9617,57,601,1
69,69,25,Male,Germany,Student,35,14370,Hip Hop,322,602684,Rock,6426,Classical,547,Rock,0.8166096020169747,34373,78,662,1
70,70,51,Male,Australia,Family,7,22618,Classical,392,777010,Rock,9158,Pop,957,Classical,0.6203189994202538,37037,39,631,0
71,71,21,Male,France,Free,4,75858,Hip Hop,322,496728,Classical,5234,EDM,947,Hip Hop,0.8539907848888993,5414,30,474,0
72,72,48,Male,Germany,Premium,76,18637,Hip Hop,427,294385,Hip Hop,1877,Hip Hop,970,Rock,0.5730556499486381,43607,21,520,0
73,73,59,Female,UK,Free,10,24162,Classical,188,240927,Pop,7548,EDM,949,Hip Hop,0.8373468668309828,19338,16,974,0
74,74,42,Female,France,Free,58,32635,Pop,146,96670,Rock,8836,EDM,848,Rock,0.41789261549470036,24023,12,296,0
75,75,57,Non-binary,France,Free,43,80087,EDM,349,82172,EDM,5144,Classical,695,Pop,0.317420849581176,838,55,52,0
76,76,37,Non-binary,Australia,Free,73,40911,Pop,217,219277,Hip Hop,5570,EDM,234,Classical,0.7665868753567097,1360,30,937,0
77,77,43,Non-binary,UK,Family,22,11809,Classical,493,933307,Pop,578,EDM,131,Rock,0.049714342083441054,35157,63,40,0
78,78,43,Male,France,Free,48,99632,Pop,82,263719,Rock,7786,Classical,717,Rock,0.031169869879496437,9615,45,483,0
79,79,59,Non-binary,Germany,Free,39,40093,Classical,112,718577,Pop,7785,Hip Hop,532,Pop,0.9651518872281971,14202,4,150,0
80,80,46,Male,Germany,Family,97,75801,Rock,283,413455,Rock,2460,EDM,738,Pop,0.7251941393153171,48920,89,290,0
81,81,40,Non-binary,Canada,Premium,76,97233,EDM,19,575643,Rock,8812,Pop,493,EDM,0.9547505098861313,30357,84,183,0
82,82,37,Female,UK,Student,69,57856,Hip Hop,222,156387,EDM,4885,Hip Hop,726,Pop,0.9397604658624681,4521,52,625,0
83,83,42,Non-binary,US,Free,33,13328,Classical,212,127208,EDM,5731,Hip Hop,366,Hip Hop,0.23780283187429518,40987,29,700,1
84,84,50,Non-binary,UK,Family,84,9714,EDM,296,754725,Classical,8943,Hip Hop,258,Pop,0.5089228911375224,39423,29,537,0
85,85,23,Female,Australia,Free,42,64825,Rock,388,929991,Pop,8640,EDM,726,Rock,0.22084972147706783,18037,24,201,1
86,86,50,Male,Australia,Student,90,18899,Rock,36,613311,Classical,8294,Classical,642,Hip Hop,0.7670267184833802,18550,33,578,0
87,87,21,Non-binary,France,Family,92,52821,Hip Hop,343,882471,EDM,185,Rock,13,Rock,0.47603701688915034,14090,11,397,0
88,88,38,Non-binary,France,Free,57,7523,Hip Hop,422,328045,Classical,7685,Hip Hop,320,Pop,0.33068230448277414,18122,77,720,0
89,89,64,Female,Canada,Free,81,439,Rock,414,159952,Hip Hop,5095,Hip Hop,909,Pop,0.8196699954766374,37635,30,457,0
90,90,30,Male,UK,Free,83,9898,Hip Hop,209,588694,Pop,1220,Classical,462,Classical,0.9477649258788203,33895,58,748,0
91,91,49,Non-binary,US,Free,14,23095,EDM,323,111809,Hip Hop,2443,EDM,192,Rock,0.3396502002508873,28325,15,305,0
92,92,58,Non-binary,Canada,Family,34,82483,Hip Hop,30,181239,Rock,3464,EDM,755,Classical,0.25067393751569866,38281,10,725,0
93,93,22,Non-binary,UK,Premium,37,67032,Hip Hop,472,751445,EDM,3456,EDM,840,Classical,0.6816706505100473,14105,38,675,1
94,94,53,Male,UK,Premium,61,71839,EDM,358,236714,EDM,966,EDM,858,Hip Hop,0.917756041264183,17658,20,727,0
95,95,23,Female,Australia,Student,27,94247,EDM,438,129314,Classical,3161,Rock,848,Rock,0.7498071520570969,10347,73,122,0
96,96,58,Non-binary,France,Student,26,84364,Classical,186,711929,Pop,8692,Hip Hop,787,Pop,0.6201056828896234,27153,29,351,0
97,97,45,Non-binary,US,Student,10,39578,Hip Hop,38,318528,Classical,3245,EDM,221,EDM,0.9711054830600253,12097,28,957,0
98,98,44,Non-binary,US,Premium,71,39879,Pop,421,751945,Hip Hop,665,Classical,762,Classical,0.43582174203892743,45937,72,588,0
99,99,43,Female,UK,Premium,87,51833,Rock,306,539654,EDM,3804,EDM,755,Rock,0.7972736006054841,31603,28,515,0
100,100,30,Male,Canada,Student,9,68322,Classical,73,47172,Pop,5396,Pop,9,Hip Hop,0.5726365193333821,15244,54,56,0
101,101,28,Non-binary,France,Family,67,85380,Hip Hop,91,157945,Hip Hop,3270,Pop,189,Classical,0.7934702610847678,38209,97,923,0
102,102,33,Female,Germany,Family,35,14034,EDM,477,749260,Classical,7116,Classical,96,Pop,0.2254523117321673,31088,86,3,0
103,103,24,Female,France,Student,70,21244,Classical,187,524356,Rock,8862,Rock,725,Rock,0.03318575784776223,19335,20,201,0
104,104,42,Male,Australia,Free,41,76956,EDM,327,54163,Pop,1862,EDM,692,Rock,0.12695321724036113,15692,91,792,0
105,105,19,Non-binary,US,Family,61,46104,Hip Hop,1,75976,Rock,9874,Classical,566,Pop,0.4278243470773354,38921,53,784,1
106,106,39,Female,UK,Premium,36,14964,EDM,71,707180,Pop,862,EDM,184,Rock,0.9431919841819819,912,31,677,0
107,107,39,Female,Australia,Free,28,2710,Classical,54,263764,Classical,2055,EDM,711,Rock,0.1399001524982315,46313,16,126,0
108,108,43,Female,Germany,Student,23,91723,EDM,276,454653,Pop,8149,Classical,266,Pop,0.35805656049475765,1406,23,569,0
109,109,29,Female,France,Student,88,58429,Pop,380,880361,Pop,8214,EDM,862,Pop,0.8037453912277863,6595,48,464,0
110,110,18,Female,Canada,Family,44,27898,Classical,389,486196,EDM,3290,Hip Hop,40,Rock,0.7120624171607883,6106,40,798,0
111,111,47,Male,Canada,Student,4,93128,Hip Hop,285,18041,Classical,4445,Rock,794,EDM,0.7659498046828399,39214,63,667,0
112,112,33,Male,Canada,Family,74,13528,Rock,465,56681,Pop,1801,Rock,933,Pop,0.5834533828543379,17693,89,940,0
113,113,62,Non-binary,Canada,Student,32,64689,EDM,270,813344,Classical,4023,Hip Hop,342,EDM,0.620627539143686,36174,76,572,0
114,114,32,Female,Germany,Family,0,45207,Classical,187,327517,Pop,4129,Rock,568,Classical,0.26798368856290133,17274,73,370,1
115,115,37,Female,Australia,Free,37,22967,EDM,239,658463,Rock,4832,Pop,208,Classical,0.7662780715511388,15100,35,67,0
116,116,43,Male,Germany,Premium,57,46897,Pop,318,746548,Pop,7303,Hip Hop,151,Rock,0.5716668632991274,43054,15,351,0
117,117,55,Male,Canada,Free,70,16049,Rock,181,62408,Classical,2337,Classical,896,Rock,0.5021110848315192,21604,98,79,0
118,118,53,Non-binary,France,Premium,10,25830,Hip Hop,221,148101,EDM,3203,Rock,903,Rock,0.7720573203190377,37004,97,148,0
119,119,62,Male,France,Free,11,30253,Hip Hop,441,94657,Rock,2922,EDM,285,Hip Hop,0.44947765203886014,16651,64,867,1
120,120,29,Female,Australia,Free,91,89806,Hip Hop,370,439916,Hip Hop,3428,Hip Hop,54,Classical,0.6035467950350413,23214,75,642,1
121,121,32,Male,UK,Student,26,81103,Classical,466,460642,Rock,2359,Rock,962,Rock,0.011410292080010764,20650,85,331,1
122,122,38,Non-binary,Australia,Family,72,97886,Rock,190,567433,Hip Hop,3494,Hip Hop,475,Hip Hop,0.9749761982621654,15437,62,50,0
123,123,54,Male,Australia,Student,83,17720,Classical,291,412878,Classical,7683,EDM,877,Pop,0.8690528377504847,49642,15,50,0
124,124,26,Male,Australia,Premium,86,75767,Rock,241,801601,Hip Hop,9537,Pop,49,Hip Hop,0.11647292156668687,35499,86,467,1
125,125,24,Female,UK,Family,83,91320,Rock,125,601206,EDM,9622,Hip Hop,619,Rock,0.7841105619866032,26111,36,757,0
126,126,31,Female,UK,Family,13,39592,Rock,422,585540,Classical,7683,EDM,576,Hip Hop,0.6168885183890209,37855,67,96,0
127,127,51,Female,Germany,Premium,54,98468,Pop,6,101000,EDM,4986,Pop,371,Classical,0.8852207147898584,47300,13,961,1
128,128,27,Female,UK,Student,20,18456,Rock,110,773464,Rock,7862,Rock,514,Hip Hop,0.5443382347007536,1619,23,503,0
129,129,41,Non-binary,France,Family,26,36657,Pop,151,456145,Rock,6466,Pop,968,Classical,0.1762068274511308,24224,10,644,0
130,130,51,Non-binary,UK,Premium,87,54305,Classical,322,743459,Classical,255,Rock,132,EDM,0.563410731583506,23835,73,407,0
131,131,43,Female,UK,Premium,55,29225,Hip Hop,342,245192,Pop,7341,Hip Hop,217,EDM,0.46595531545530533,10322,69,680,0
132,132,54,Female,Germany,Family,44,62548,EDM,214,463008,Rock,9680,Hip Hop,260,Pop,0.3851315393492678,3944,71,744,0
133,133,22,Male,Canada,Premium,64,32506,Pop,449,200896,Pop,7879,EDM,675,Pop,0.09076922517970243,26209,94,999,0
134,134,32,Female,France,Free,16,9161,Pop,104,382622,Rock,6467,Hip Hop,57,Pop,0.41000772216426085,45978,22,179,0
135,135,55,Non-binary,UK,Family,93,82649,Classical,214,193341,Hip Hop,9133,Hip Hop,988,EDM,0.5872544510795041,6283,47,308,0
136,136,25,Non-binary,Germany,Free,69,64265,Rock,11,676208,Pop,5167,EDM,381,Classical,0.5386712829219453,32748,92,554,0
137,137,54,Female,Germany,Student,49,79232,Classical,15,564527,Classical,6669,Pop,680,EDM,0.7510751303760869,27391,35,795,1
138,138,59,Non-binary,US,Family,86,21559,Hip Hop,414,977814,Classical,5959,Pop,447,Hip Hop,0.018184339928315252,16386,93,21,0
139,139,31,Female,Germany,Free,71,96548,Classical,438,60357,Rock,9248,Classical,249,Classical,0.8720030825627629,18202,52,550,1
140,140,46,Male,Canada,Free,70,25382,Pop,67,248930,Rock,7007,Classical,112,Rock,0.4877627495390704,30115,68,55,0
141,141,35,Non-binary,US,Student,89,48693,Pop,191,524836,Hip Hop,6701,EDM,643,Hip Hop,0.5290584080370639,11316,14,292,0
142,142,22,Non-binary,Germany,Family,2,60297,Classical,497,438681,Rock,7645,EDM,717,Classical,0.5116930089266655,39602,65,77,1
143,143,54,Male,Canada,Family,33,71404,Pop,19,16624,Rock,6509,Classical,857,Pop,0.08551463397501691,30524,97,657,0
144,144,52,Female,UK,Free,65,16301,Hip Hop,374,983329,EDM,4222,EDM,259,Hip Hop,0.727612214273368,10407,26,837,0
145,145,42,Male,Australia,Free,25,75190,EDM,318,146707,Classical,8686,Rock,404,Rock,0.8425797611535598,14077,40,281,0
146,146,22,Female,UK,Student,82,53420,Rock,338,794963,EDM,6785,Pop,493,Hip Hop,0.9200745894757593,19644,37,576,0
147,147,60,Female,US,Student,23,10479,Rock,436,442106,Hip Hop,2248,Rock,507,Classical,0.43341646570579273,287,46,52,0
148,148,23,Male,Australia,Family,11,69346,Classical,169,410557,Rock,2127,Pop,247,Classical,0.1843956036036234,31297,3,125,0
149,149,64,Male,UK,Premium,72,48224,EDM,403,908401,EDM,4112,Classical,196,Hip Hop,0.8942971475172774,25902,20,798,0
150,150,54,Male,UK,Premium,40,92361,Rock,292,269404,Rock,6361,EDM,922,Pop,0.3815414975132442,25186,46,830,0
151,151,61,Female,US,Family,20,3029,Rock,123,162069,Pop,7538,Rock,990,Hip Hop,0.4287655198457494,31177,59,562,0
152,152,32,Non-binary,Canada,Student,69,54819,EDM,351,885196,Hip Hop,6873,Pop,970,Hip Hop,0.840955639709074,8663,54,462,1
153,153,33,Female,Australia,Family,87,11776,Classical,383,279507,Rock,6525,Rock,220,Classical,0.5711186098361658,12584,40,743,0
154,154,64,Male,Canada,Student,7,82934,Classical,209,291029,Pop,8550,EDM,691,Rock,0.7773728335499016,33308,73,691,0
155,155,49,Male,Australia,Premium,55,4127,Rock,209,428699,Rock,7479,EDM,532,Classical,0.4485184543909245,10375,90,865,0
156,156,44,Female,Germany,Family,6,61919,Rock,303,274181,Pop,1251,Hip Hop,180,Rock,0.5655946569491714,7555,65,497,0
157,157,22,Female,France,Free,6,51183,Classical,371,162057,EDM,3482,Rock,155,Classical,0.7941669905372242,43691,25,506,0
158,158,33,Non-binary,UK,Free,39,80969,Rock,161,706242,Classical,3970,Classical,262,Rock,0.1845157390586326,40106,37,903,0
159,159,40,Male,UK,Free,92,76957,Rock,167,475299,Hip Hop,4638,Rock,19,Hip Hop,0.5927540905501549,30400,73,883,1
160,160,54,Non-binary,Australia,Premium,95,29306,EDM,52,182279,Classical,8709,Pop,35,Hip Hop,0.1627903997236314,32637,6,186,0
161,161,44,Female,Australia,Student,11,73665,Hip Hop,69,884982,Rock,9673,EDM,344,Classical,0.07241449592625737,29726,62,968,1
162,162,38,Male,Germany,Family,68,23045,Classical,244,36452,EDM,3687,EDM,459,Rock,0.18965535070300932,34183,38,667,1
163,163,25,Non-binary,Canada,Premium,94,78655,Classical,116,815903,EDM,9033,Classical,743,Pop,0.43403671823370493,45863,50,146,0
164,164,39,Female,France,Free,21,39905,Hip Hop,453,400086,Classical,3211,Pop,218,EDM,0.9012307519037542,32090,40,838,0
165,165,28,Female,US,Student,33,7434,Rock,154,206162,Rock,180,Rock,190,Classical,0.14169579495984863,23292,54,257,0
166,166,22,Non-binary,Canada,Free,70,75775,EDM,290,346660,Classical,6152,Rock,407,Hip Hop,0.5236396198648218,14075,6,648,0
167,167,24,Non-binary,US,Family,23,18029,EDM,278,768102,Rock,5390,Pop,84,Hip Hop,0.5545526421934408,26399,53,55,0
168,168,33,Female,Australia,Family,36,39779,Pop,131,136548,Rock,551,Classical,543,Pop,0.36032918702468986,29865,19,757,0
169,169,55,Non-binary,Australia,Student,80,44923,Classical,308,455690,Hip Hop,1086,Rock,738,Rock,0.33290186614282835,46869,89,123,0
170,170,49,Non-binary,Germany,Student,3,88258,Hip Hop,82,162546,Classical,4847,Pop,627,EDM,0.6367779330668654,28673,33,467,1
171,171,51,Female,US,Premium,92,47030,Classical,106,253650,EDM,789,Rock,984,EDM,0.438774021605035,18224,10,305,0
172,172,56,Non-binary,Australia,Premium,85,11325,Rock,332,754014,Hip Hop,589,Rock,393,Classical,0.14953985270792491,37982,31,694,0
173,173,64,Male,Australia,Family,94,58227,Classical,60,452401,Rock,4547,EDM,879,Pop,0.522026841442237,16010,70,634,0
174,174,62,Non-binary,UK,Free,57,73383,Pop,272,616575,Hip Hop,823,Classical,257,Rock,0.5576082852881675,10127,8,329,0
175,175,33,Male,France,Student,8,86857,EDM,313,200912,Pop,3648,Hip Hop,594,Pop,0.3445444512976261,4677,65,895,0
176,176,27,Male,US,Free,61,98845,Rock,498,572656,Rock,5460,Classical,714,EDM,0.023072131579291777,47766,4,246,0
177,177,41,Non-binary,UK,Student,27,93617,Pop,57,985034,Rock,9683,Pop,170,EDM,0.6831004239546798,23227,49,356,0
178,178,30,Non-binary,Australia,Family,40,358,Pop,258,392887,EDM,4778,Classical,877,Classical,0.1997259198695247,29290,40,346,0
179,179,29,Non-binary,Australia,Student,61,48779,Hip Hop,106,57591,EDM,7680,Hip Hop,292,Pop,0.7932391145392149,43952,97,20,0
180,180,48,Female,Germany,Family,52,82097,Rock,383,277894,Pop,7190,Classical,19,Classical,0.06408914542095678,39162,15,474,0
181,181,50,Non-binary,France,Student,64,69237,Rock,235,349247,Hip Hop,3370,Hip Hop,239,Pop,0.8574278695129977,48080,46,103,0
182,182,50,Male,France,Student,83,82911,Classical,52,536116,EDM,9020,EDM,900,Hip Hop,0.7835549309467348,27286,73,464,0
183,183,19,Non-binary,UK,Student,39,31057,Rock,426,732403,EDM,7453,Pop,607,Hip Hop,0.5134927489469696,32123,32,76,0
184,184,60,Female,Germany,Premium,34,41880,Pop,445,374854,EDM,3557,Hip Hop,453,Pop,0.7240136487986877,39837,79,984,0
185,185,33,Male,Canada,Student,68,66721,Classical,210,689390,Rock,2573,Classical,320,Hip Hop,0.41583221891319844,26596,59,402,1
186,186,29,Non-binary,France,Premium,70,84769,Hip Hop,212,517606,EDM,1005,Rock,521,Pop,0.7849061840510667,13778,41,939,0
187,187,43,Male,US,Free,17,88412,EDM,94,608984,EDM,8768,Pop,84,Rock,0.6469045088240152,12174,83,654,1
188,188,19,Male,UK,Free,32,66882,Pop,179,892310,Classical,6350,Hip Hop,401,EDM,0.08526816894193223,40514,15,791,0
189,189,58,Male,Canada,Free,3,81572,Rock,383,236489,Rock,367,Classical,317,Classical,0.5972072173777003,45429,12,637,0
190,190,37,Non-binary,US,Free,49,80209,EDM,169,663426,Pop,52,Classical,945,Classical,0.8780557770878878,49938,79,172,0
191,191,59,Non-binary,Australia,Free,63,15703,Pop,387,751435,Hip Hop,1535,EDM,529,Pop,0.83385777076451,32831,5,467,0
192,192,55,Non-binary,Australia,Student,90,89668,Classical,367,982324,EDM,6306,Rock,756,Rock,0.7252083873978052,45939,33,480,0
193,193,58,Male,UK,Family,71,24367,Rock,464,583938,Classical,466,EDM,941,Hip Hop,0.9028349892099344,44235,53,579,0
194,194,46,Non-binary,Australia,Premium,36,40660,Rock,264,908961,Classical,568,Classical,680,Rock,0.11059799731359587,16048,51,825,0
195,195,21,Male,UK,Family,36,46474,Pop,345,780885,Hip Hop,7830,Hip Hop,801,Rock,0.7165926914068339,1317,7,596,0
196,196,27,Male,Germany,Premium,39,32556,EDM,75,361786,Hip Hop,4606,Classical,662,Classical,0.6574149423564586,41237,44,213,0
197,197,33,Female,Canada,Student,95,50282,Pop,259,846973,Classical,1610,Hip Hop,329,Classical,0.409675017102502,24429,20,714,0
198,198,57,Male,France,Free,30,47517,Classical,171,936467,Pop,2011,EDM,775,Rock,0.8211335231023639,15613,79,216,0
199,199,27,Female,Canada,Free,39,28261,Classical,449,898274,Classical,8356,Rock,448,Pop,0.8016217284702721,14086,33,702,0
200,200,28,Non-binary,UK,Student,62,21183,Pop,140,536564,Pop,8881,Rock,369,Hip Hop,0.021815968895881888,46809,65,676,1
201,201,22,Non-binary,France,Family,45,10591,Classical,468,43548,Rock,9981,Pop,361,EDM,0.3801418290325922,43616,36,919,0
202,202,55,Female,France,Family,47,86931,Rock,489,234032,Rock,2121,EDM,88,Rock,0.23926093699764672,9172,33,350,0
203,203,40,Female,UK,Family,74,23390,EDM,28,828339,Hip Hop,4719,Hip Hop,999,Hip Hop,0.9021581024668092,29643,10,70,0
