user_id,age,gender,country,language,subscription_type,subscription_start_date,monthly_price,watch_time,watch_history,search_history,likes,dislikes,comments,views,ad_impressions,ad_clicks,payment_method,last_payment_date,churn
19,46,other,Canada,French,Family,2015-01-11 18:23:15.639127825,14.99,520,movies,music,480,55,21,4810,211,12,paypal,2020-01-05 04:35:22.984596919,1
20,33,male,USA,English,Family,2015-01-12 08:44:33.174634927,19.99,6,movies,comedy,346,7,14,4507,423,28,debit card,2020-01-05 10:10:40.928185637,1
21,34,other,Australia,German,Individual,2015-01-12 23:05:50.710142028,19.99,208,music,news,486,1,32,6427,457,29,credit card,2020-01-05 15:45:58.871774354,0
22,56,female,UK,English,Student,2015-01-13 13:27:08.245649129,11.99,365,music,sports,340,44,36,2741,373,37,paypal,2020-01-05 21:21:16.815363072,0
23,59,other,UK,Mandarin,Individual,2015-01-14 03:48:25.781156231,19.99,86,sports,tv shows,317,66,18,5692,312,37,paypal,2020-01-06 02:56:34.758951790,1
24,21,female,USA,French,Student,2015-01-14 18:09:43.316663332,14.99,351,tv shows,tv shows,430,2,35,4438,258,24,google pay,2020-01-06 08:31:52.702540508,0
25,50,female,Australia,English,Family,2015-01-15 08:31:00.852170434,11.99,119,tv shows,news,38,34,7,3940,114,47,debit card,2020-01-06 14:07:10.646129225,1
26,47,male,Canada,English,Student,2015-01-15 22:52:18.387677535,14.99,498,movies,tv shows,7,6,27,4412,374,23,debit card,2020-01-06 19:42:28.589717943,0
27,41,male,Canada,French,Student,2015-01-16 13:13:35.923184637,14.99,181,news,music,317,25,44,1824,56,17,credit card,2020-01-07 01:17:46.533306661,0
28,29,female,UK,Spanish,Individual,2015-01-17 03:34:53.458691738,24.99,264,sports,news,222,54,1,8735,343,17,debit card,2020-01-07 06:53:04.476895379,0
29,53,female,Canada,Spanish,Family,2015-01-17 17:56:10.994198839,11.99,574,music,movies,360,37,26,937,118,40,google pay,2020-01-07 12:28:22.420484096,1
30,29,female,USA,Spanish,Student,2015-01-18 08:17:28.529705941,24.99,230,tv shows,movies,476,36,0,3801,169,34,paypal,2020-01-07 18:03:40.364072814,0
31,41,other,Canada,Spanish,Student,2015-01-18 22:38:46.065213042,19.99,57,movies,music,17,38,0,7375,101,43,google pay,2020-01-07 23:38:58.307661532,0
32,36,other,USA,Spanish,Student,2015-01-19 13:00:03.600720144,11.99,429,news,sports,118,75,16,9878,148,39,credit card,2020-01-08 05:14:16.251250250,1
33,46,female,USA,German,Student,2015-01-20 03:21:21.136227245,14.99,37,music,news,28,2,1,3139,444,33,debit card,2020-01-08 10:49:34.194838967,0
34,55,female,UK,Spanish,Family,2015-01-20 17:42:38.671734347,24.99,152,movies,comedy,259,50,46,5631,334,15,google pay,2020-01-08 16:24:52.138427685,1
35,20,male,Australia,Spanish,Individual,2015-01-21 08:03:56.207241448,19.99,343,movies,news,288,49,49,6811,216,4,debit card,2020-01-08 22:00:10.082016403,0
36,55,male,USA,German,Student,2015-01-21 22:25:13.742748549,11.99,519,music,tv shows,351,65,40,6555,252,16,google pay,2020-01-09 03:35:28.025605121,0
37,53,female,UK,German,Student,2015-01-22 12:46:31.278255651,11.99,278,tv shows,movies,385,12,21,4466,356,0,credit card,2020-01-09 09:10:45.969193838,0
38,43,male,USA,English,Student,2015-01-23 03:07:48.813762752,19.99,315,comedy,movies,351,15,9,4541,170,27,paypal,2020-01-09 14:46:03.912782556,0
39,40,other,Australia,Mandarin,Family,2015-01-23 17:29:06.349269854,19.99,332,comedy,comedy,468,6,45,5875,91,6,google pay,2020-01-09 20:21:21.856371274,1
40,30,female,USA,English,Individual,2015-01-24 07:50:23.884776955,14.99,265,movies,tv shows,128,58,44,4069,269,23,paypal,2020-01-10 01:56:39.799959992,1
41,54,female,Australia,French,Individual,2015-01-24 22:11:41.420284057,14.99,115,comedy,news,441,28,35,1271,359,3,credit card,2020-01-10 07:31:57.743548709,1
42,32,other,UK,English,Student,2015-01-25 12:32:58.955791158,24.99,498,music,movies,461,2,28,7296,230,9,debit card,2020-01-10 13:07:15.687137427,1
43,50,other,UK,French,Student,2015-01-26 02:54:16.491298259,11.99,259,movies,news,85,99,8,9193,340,11,credit card,2020-01-10 18:42:33.630726145,1
44,51,male,Canada,Mandarin,Family,2015-01-26 17:15:34.026805361,11.99,339,tv shows,news,387,14,44,4489,29,47,google pay,2020-01-11 00:17:51.574314862,0
45,40,male,UK,Spanish,Individual,2015-01-27 07:36:51.562312462,19.99,396,sports,movies,96,82,34,4574,470,2,google pay,2020-01-11 05:53:09.517903580,1
46,57,other,Canada,French,Individual,2015-01-27 21:58:09.097819564,14.99,142,sports,comedy,458,70,36,3561,176,9,debit card,2020-01-11 11:28:27.461492298,1
47,52,other,Australia,Spanish,Individual,2015-01-28 12:19:26.633326665,19.99,421,movies,sports,86,81,28,1671,30,5,google pay,2020-01-11 17:03:45.405081016,0
48,52,female,Canada,German,Individual,2015-01-29 02:40:44.168833767,11.99,89,movies,comedy,448,70,12,4014,497,23,paypal,2020-01-11 22:39:03.348669733,1
49,31,male,UK,English,Individual,2015-01-29 17:02:01.704340868,14.99,243,sports,sports,84,97,41,5353,341,24,paypal,2020-01-12 04:14:21.292258451,1
50,42,other,UK,French,Individual,2015-01-30 07:23:19.239847969,11.99,66,movies,tv shows,51,1,13,1700,20,12,debit card,2020-01-12 09:49:39.235847169,1
51,23,other,Australia,French,Student,2015-01-30 21:44:36.775355071,24.99,72,news,news,217,52,24,104,59,31,credit card,2020-01-12 15:24:57.179435887,0
52,52,female,Australia,English,Family,2015-01-31 12:05:54.310862172,14.99,107,sports,news,431,48,1,673,264,35,paypal,2020-01-12 21:00:15.123024604,0
53,33,female,USA,German,Family,2015-02-01 02:27:11.846369274,24.99,193,news,music,257,13,19,9373,297,49,credit card,2020-01-13 02:35:33.066613322,0
54,39,female,Australia,French,Family,2015-02-01 16:48:29.381876375,24.99,40,music,sports,188,34,3,7995,419,48,google pay,2020-01-13 08:10:51.010202040,0
55,30,female,Australia,Mandarin,Student,2015-02-02 07:09:46.917383477,11.99,237,sports,news,16,89,5,2366,490,18,debit card,2020-01-13 13:46:08.953790758,1
56,18,male,USA,French,Individual,2015-02-02 21:31:04.452890578,14.99,20,movies,comedy,1,50,35,3026,499,13,paypal,2020-01-13 19:21:26.897379475,1
57,34,female,UK,French,Individual,2015-02-03 11:52:21.988397679,19.99,148,music,news,285,69,11,883,355,35,paypal,2020-01-14 00:56:44.840968193,1
58,52,male,Australia,Spanish,Individual,2015-02-04 02:13:39.523904781,24.99,152,tv shows,tv shows,56,13,12,4486,439,29,credit card,2020-01-14 06:32:02.784556911,0
59,27,other,Australia,English,Student,2015-02-04 16:34:57.059411882,19.99,103,comedy,movies,193,25,38,6777,282,41,paypal,2020-01-14 12:07:20.728145629,0
60,38,other,Australia,English,Family,2015-02-05 06:56:14.594918984,11.99,450,music,music,146,32,44,5955,305,9,debit card,2020-01-14 17:42:38.671734346,1
61,37,female,UK,English,Individual,2015-02-05 21:17:32.130426085,24.99,233,tv shows,sports,39,93,34,9373,432,42,paypal,2020-01-14 23:17:56.615323064,1
62,21,other,USA,Spanish,Student,2015-02-06 11:38:49.665933186,14.99,201,movies,movies,50,0,15,1027,460,44,credit card,2020-01-15 04:53:14.558911782,0
63,39,female,Australia,French,Family,2015-02-07 02:00:07.201440288,11.99,473,comedy,news,371,4,23,442,189,38,debit card,2020-01-15 10:28:32.502500500,1
64,34,female,UK,Mandarin,Individual,2015-02-07 16:21:24.736947389,24.99,515,music,tv shows,246,61,37,6439,452,49,google pay,2020-01-15 16:03:50.446089217,0
65,23,male,UK,French,Student,2015-02-08 06:42:42.272454491,11.99,86,movies,news,167,71,40,1804,400,47,debit card,2020-01-15 21:39:08.389677935,1
66,41,other,USA,French,Individual,2015-02-08 21:03:59.807961592,14.99,480,news,tv shows,263,61,13,8505,267,48,credit card,2020-01-16 03:14:26.333266653,1
67,28,female,Canada,English,Individual,2015-02-09 11:25:17.343468694,11.99,236,movies,movies,210,79,14,3936,144,25,paypal,2020-01-16 08:49:44.276855371,1
68,53,male,Canada,English,Family,2015-02-10 01:46:34.878975795,24.99,20,comedy,sports,98,69,2,106,133,30,paypal,2020-01-16 14:25:02.220444088,0
69,21,other,Australia,Mandarin,Student,2015-02-10 16:07:52.414482896,14.99,214,music,music,306,0,40,6493,409,32,paypal,2020-01-16 20:00:20.164032806,1
70,33,other,Australia,German,Family,2015-02-11 06:29:09.949989998,19.99,573,comedy,tv shows,462,13,16,3321,18,44,paypal,2020-01-17 01:35:38.107621524,1
71,35,male,USA,German,Family,2015-02-11 20:50:27.485497099,14.99,498,movies,tv shows,237,72,34,3200,123,36,paypal,2020-01-17 07:10:56.051210242,1
72,35,other,USA,Mandarin,Individual,2015-02-12 11:11:45.021004201,24.99,192,music,movies,281,89,24,7396,403,35,paypal,2020-01-17 12:46:13.994798959,1
73,48,female,Canada,English,Student,2015-02-13 01:33:02.556511302,14.99,552,movies,news,453,80,39,2402,134,6,paypal,2020-01-17 18:21:31.938387677,0
74,21,male,USA,Spanish,Student,2015-02-13 15:54:20.092018404,24.99,477,news,tv shows,170,43,48,1192,259,36,credit card,2020-01-17 23:56:49.881976395,0
75,27,male,Canada,Mandarin,Family,2015-02-14 06:15:37.627525505,11.99,3,sports,tv shows,118,59,43,3030,16,29,credit card,2020-01-18 05:32:07.825565113,1
76,32,other,Australia,English,Individual,2015-02-14 20:36:55.163032606,24.99,579,sports,music,69,64,4,5070,265,16,paypal,2020-01-18 11:07:25.769153830,0
77,20,female,UK,Mandarin,Family,2015-02-15 10:58:12.698539708,19.99,282,music,comedy,106,62,3,5455,81,18,paypal,2020-01-18 16:42:43.712742548,1
78,52,female,USA,English,Family,2015-02-16 01:19:30.234046809,11.99,186,movies,sports,238,94,30,9201,106,37,credit card,2020-01-18 22:18:01.656331266,1
79,35,other,Australia,English,Student,2015-02-16 15:40:47.769553911,19.99,124,news,news,46,21,48,1039,143,5,google pay,2020-01-19 03:53:19.599919984,1
80,53,male,Australia,Mandarin,Individual,2015-02-17 06:02:05.305061012,14.99,210,movies,comedy,350,95,46,8822,83,5,paypal,2020-01-19 09:28:37.543508701,0
81,51,female,USA,German,Individual,2015-02-17 20:23:22.840568114,19.99,552,comedy,news,487,73,17,3268,211,35,debit card,2020-01-19 15:03:55.487097419,0
82,37,other,UK,English,Family,2015-02-18 10:44:40.376075215,19.99,185,comedy,tv shows,451,27,42,9753,469,49,credit card,2020-01-19 20:39:13.430686137,0
83,21,male,Australia,English,Student,2015-02-19 01:05:57.911582316,24.99,246,comedy,sports,87,25,18,738,371,23,paypal,2020-01-20 02:14:31.374274854,1
84,32,male,Canada,German,Family,2015-02-19 15:27:15.447089418,24.99,23,comedy,movies,11,93,19,5020,318,15,google pay,2020-01-20 07:49:49.317863572,1
85,29,other,UK,Mandarin,Student,2015-02-20 05:48:32.982596519,11.99,246,sports,tv shows,195,55,2,1892,335,4,credit card,2020-01-20 13:25:07.261452290,0
86,51,male,UK,Spanish,Individual,2015-02-20 20:09:50.518103621,11.99,98,movies,comedy,279,98,48,5806,111,29,credit card,2020-01-20 19:00:25.205041008,0
87,47,male,USA,Spanish,Student,2015-02-21 10:31:08.053610722,14.99,53,tv shows,movies,204,96,25,86,459,23,debit card,2020-01-21 00:35:43.148629725,0
88,26,other,USA,Spanish,Individual,2015-02-22 00:52:25.589117823,11.99,101,movies,comedy,394,56,9,3942,424,8,credit card,2020-01-21 06:11:01.092218443,0
89,27,male,Canada,French,Individual,2015-02-22 15:13:43.124624925,19.99,6,movies,music,275,70,5,1266,475,1,google pay,2020-01-21 11:46:19.035807161,0
90,28,female,Canada,German,Individual,2015-02-23 05:35:00.660132027,11.99,512,news,music,478,30,47,2718,206,22,paypal,2020-01-21 17:21:36.979395879,0
91,28,other,Canada,English,Student,2015-02-23 19:56:18.195639128,11.99,294,news,comedy,438,42,17,7314,263,6,debit card,2020-01-21 22:56:54.922984596,1
92,29,female,Australia,English,Student,2015-02-24 10:17:35.731146229,14.99,182,news,tv shows,500,18,30,1648,383,32,google pay,2020-01-22 04:32:12.866573314,1
93,40,male,UK,Spanish,Student,2015-02-25 00:38:53.266653331,14.99,439,sports,movies,456,80,13,3392,456,43,credit card,2020-01-22 10:07:30.810162032,0
94,32,male,Canada,English,Student,2015-02-25 15:00:10.802160432,14.99,42,news,tv shows,430,58,30,2835,125,15,paypal,2020-01-22 15:42:48.753750750,1
95,19,male,USA,Mandarin,Family,2015-02-26 05:21:28.337667534,24.99,92,news,movies,14,5,11,2635,22,31,debit card,2020-01-22 21:18:06.697339467,1
96,31,female,UK,French,Individual,2015-02-26 19:42:45.873174635,19.99,465,sports,comedy,193,79,35,2340,173,7,google pay,2020-01-23 02:53:24.640928185,0
97,59,female,Australia,English,Student,2015-02-27 10:04:03.408681736,14.99,349,sports,movies,448,10,36,6591,79,37,debit card,2020-01-23 08:28:42.584516903,0
98,44,female,Australia,German,Student,2015-02-28 00:25:20.944188838,24.99,517,comedy,sports,496,23,23,6431,67,35,credit card,2020-01-23 14:04:00.528105621,1
99,37,other,Canada,Spanish,Individual,2015-02-28 14:46:38.479695939,14.99,158,tv shows,news,14,92,5,3233,168,45,paypal,2020-01-23 19:39:18.471694338,0
100,26,other,USA,French,Student,2015-03-01 05:07:56.015203041,14.99,393,sports,tv shows,194,85,1,1039,224,38,credit card,2020-01-24 01:14:36.415283056,1
101,57,female,Australia,Mandarin,Individual,2015-03-01 19:29:13.550710142,19.99,171,comedy,tv shows,65,56,35,3506,195,31,google pay,2020-01-24 06:49:54.358871774,1
102,46,female,Canada,Mandarin,Student,2015-03-02 09:50:31.086217244,24.99,300,music,tv shows,16,93,49,8058,306,22,debit card,2020-01-24 12:25:12.302460492,0
103,30,female,USA,Mandarin,Student,2015-03-03 00:11:48.621724345,19.99,157,music,movies,496,25,34,3085,496,13,paypal,2020-01-24 18:00:30.246049209,0
104,19,female,UK,English,Individual,2015-03-03 14:33:06.157231446,14.99,168,movies,comedy,467,59,35,2495,165,47,paypal,2020-01-24 23:35:48.189637927,0
105,51,other,Australia,French,Family,2015-03-04 04:54:23.692738548,24.99,320,music,sports,495,25,23,5833,16,4,credit card,2020-01-25 05:11:06.133226645,1
106,46,other,USA,German,Family,2015-03-04 19:15:41.228245649,24.99,297,sports,music,89,44,32,6061,158,7,credit card,2020-01-25 10:46:24.076815363,0
107,58,other,UK,German,Student,2015-03-05 09:36:58.763752751,19.99,115,news,tv shows,420,55,34,8057,140,13,google pay,2020-01-25 16:21:42.020404080,1
108,38,female,Australia,French,Individual,2015-03-05 23:58:16.299259852,24.99,317,tv shows,news,360,49,11,3090,16,48,credit card,2020-01-25 21:56:59.963992798,0
109,32,female,USA,French,Family,2015-03-06 14:19:33.834766954,14.99,448,movies,comedy,301,42,39,2468,269,22,google pay,2020-01-26 03:32:17.907581516,0
110,32,male,Australia,English,Student,2015-03-07 04:40:51.370274055,11.99,15,tv shows,comedy,477,9,35,3693,246,25,debit card,2020-01-26 09:07:35.851170234,0
111,49,female,Canada,Spanish,Family,2015-03-07 19:02:08.905781156,14.99,595,music,movies,425,75,22,9448,422,43,debit card,2020-01-26 14:42:53.794758951,1
112,32,female,UK,Mandarin,Student,2015-03-08 09:23:26.441288258,11.99,547,sports,music,65,44,12,1971,39,6,paypal,2020-01-26 20:18:11.738347669,1
113,38,female,UK,French,Family,2015-03-08 23:44:43.976795359,19.99,546,tv shows,news,196,19,9,3286,126,29,debit card,2020-01-27 01:53:29.681936387,1
114,56,female,Australia,German,Family,2015-03-09 14:06:01.512302461,24.99,383,tv shows,comedy,348,30,28,1815,35,39,credit card,2020-01-27 07:28:47.625525105,0
115,32,female,UK,Spanish,Student,2015-03-10 04:27:19.047809562,24.99,11,music,music,374,51,46,6690,403,23,paypal,2020-01-27 13:04:05.569113822,0
116,28,female,USA,English,Family,2015-03-10 18:48:36.583316664,19.99,200,comedy,tv shows,460,56,35,4155,292,42,google pay,2020-01-27 18:39:23.512702540,0
117,27,other,Canada,French,Family,2015-03-11 09:09:54.118823765,24.99,500,news,tv shows,180,98,27,2995,314,24,debit card,2020-01-28 00:14:41.456291258,1
118,58,other,Australia,Spanish,Family,2015-03-11 23:31:11.654330866,24.99,10,movies,movies,80,94,17,9502,97,14,credit card,2020-01-28 05:49:59.399879976,1
119,22,male,USA,German,Family,2015-03-12 13:52:29.189837968,19.99,312,movies,comedy,431,37,15,5616,445,45,google pay,2020-01-28 11:25:17.343468693,1
120,35,female,UK,German,Student,2015-03-13 04:13:46.725345069,24.99,461,news,music,71,11,20,7353,322,33,credit card,2020-01-28 17:00:35.287057411,0
121,41,female,Canada,Spanish,Individual,2015-03-13 18:35:04.260852171,14.99,318,music,news,6,70,32,1986,400,48,paypal,2020-01-28 22:35:53.230646129,1
122,55,female,USA,Spanish,Individual,2015-03-14 08:56:21.796359272,14.99,400,tv shows,comedy,499,98,16,7099,239,18,google pay,2020-01-29 04:11:11.174234847,0
123,54,other,USA,French,Family,2015-03-14 23:17:39.331866373,24.99,200,movies,music,103,57,36,6330,359,46,debit card,2020-01-29 09:46:29.117823564,1
124,31,male,USA,Spanish,Family,2015-03-15 13:38:56.867373475,24.99,224,movies,comedy,154,52,18,1524,44,34,credit card,2020-01-29 15:21:47.061412282,0
125,55,female,Canada,German,Individual,2015-03-16 04:00:14.402880576,19.99,331,tv shows,tv shows,438,73,22,3080,190,3,credit card,2020-01-29 20:57:05.005001000,0
126,55,male,UK,Mandarin,Family,2015-03-16 18:21:31.938387678,19.99,60,news,sports,332,22,37,641,329,46,paypal,2020-01-30 02:32:22.948589718,0
127,48,male,Canada,French,Individual,2015-03-17 08:42:49.473894779,11.99,332,tv shows,movies,391,92,44,2980,436,3,google pay,2020-01-30 08:07:40.892178435,0
128,43,female,UK,English,Family,2015-03-17 23:04:07.009401881,19.99,167,tv shows,news,169,18,32,7038,357,19,paypal,2020-01-30 13:42:58.835767153,0
129,60,male,UK,German,Individual,2015-03-18 13:25:24.544908982,11.99,177,tv shows,news,474,56,23,8066,33,17,google pay,2020-01-30 19:18:16.779355871,1
130,48,female,UK,German,Individual,2015-03-19 03:46:42.080416083,19.99,273,sports,comedy,470,20,0,8509,458,43,credit card,2020-01-31 00:53:34.722944588,0
131,23,female,UK,Spanish,Individual,2015-03-19 18:07:59.615923185,19.99,485,tv shows,comedy,307,61,13,4111,484,28,debit card,2020-01-31 06:28:52.666533306,0
132,31,female,UK,German,Student,2015-03-20 08:29:17.151430286,11.99,382,sports,movies,56,21,17,4988,4,41,debit card,2020-01-31 12:04:10.610122024,1
133,42,other,UK,English,Student,2015-03-20 22:50:34.686937388,14.99,210,news,comedy,288,65,32,2641,444,39,debit card,2020-01-31 17:39:28.553710742,0
134,21,female,UK,Mandarin,Individual,2015-03-21 13:11:52.222444489,11.99,347,comedy,tv shows,39,66,31,5551,408,24,paypal,2020-01-31 23:14:46.497299459,1
135,46,male,Canada,English,Family,2015-03-22 03:33:09.757951591,19.99,317,sports,sports,468,65,44,8815,471,43,credit card,2020-02-01 04:50:04.440888177,1
136,43,male,Australia,English,Student,2015-03-22 17:54:27.293458692,19.99,91,news,news,111,20,37,6707,187,32,google pay,2020-02-01 10:25:22.384476895,1
137,53,other,Australia,English,Family,2015-03-23 08:15:44.828965793,24.99,586,comedy,tv shows,249,45,28,6858,496,13,google pay,2020-02-01 16:00:40.328065613,1
138,31,female,USA,French,Student,2015-03-23 22:37:02.364472895,24.99,575,news,movies,444,23,10,6321,342,27,credit card,2020-02-01 21:35:58.271654330,1
139,58,male,Canada,Spanish,Family,2015-03-24 12:58:19.899979996,11.99,275,music,movies,139,21,36,12,101,34,debit card,2020-02-02 03:11:16.215243048,1
140,46,other,Canada,Mandarin,Family,2015-03-25 03:19:37.435487098,24.99,516,sports,comedy,96,61,13,2703,365,7,google pay,2020-02-02 08:46:34.158831766,1
141,30,female,USA,English,Individual,2015-03-25 17:40:54.970994199,14.99,294,news,tv shows,348,64,30,7579,74,14,debit card,2020-02-02 14:21:52.102420484,0
142,43,female,UK,English,Family,2015-03-26 08:02:12.506501300,19.99,55,sports,comedy,278,38,3,8356,60,33,paypal,2020-02-02 19:57:10.046009201,1
143,42,male,USA,French,Individual,2015-03-26 22:23:30.042008402,24.99,569,tv shows,news,317,98,8,7322,395,33,debit card,2020-02-03 01:32:27.989597919,1
144,49,male,UK,English,Family,2015-03-27 12:44:47.577515503,14.99,437,movies,music,271,25,20,6518,186,35,debit card,2020-02-03 07:07:45.933186637,0
145,32,male,Canada,German,Family,2015-03-28 03:06:05.113022605,14.99,397,music,movies,165,69,11,72,439,20,google pay,2020-02-03 12:43:03.876775355,0
146,46,male,UK,French,Student,2015-03-28 17:27:22.648529706,19.99,302,tv shows,sports,9,69,6,3077,481,7,credit card,2020-02-03 18:18:21.820364072,0
147,46,male,USA,Mandarin,Student,2015-03-29 07:48:40.184036808,11.99,140,music,comedy,459,2,1,1623,169,0,paypal,2020-02-03 23:53:39.763952790,0
148,41,female,USA,Spanish,Student,2015-03-29 22:09:57.719543909,14.99,579,music,sports,131,54,24,8463,393,28,credit card,2020-02-04 05:28:57.707541508,1
149,30,other,USA,German,Individual,2015-03-30 12:31:15.255051010,14.99,113,sports,movies,316,46,21,5499,487,11,credit card,2020-02-04 11:04:15.651130226,0
150,56,male,Canada,English,Individual,2015-03-31 02:52:32.790558112,11.99,320,news,sports,138,3,14,4961,140,43,google pay,2020-02-04 16:39:33.594718943,1
151,44,male,UK,Spanish,Individual,2015-03-31 17:13:50.326065213,24.99,126,sports,tv shows,72,25,16,8048,459,27,google pay,2020-02-04 22:14:51.538307661,0
152,46,female,UK,French,Family,2015-04-01 07:35:07.861572315,24.99,130,news,movies,142,22,17,119,260,41,debit card,2020-02-05 03:50:09.481896379,0
153,21,female,Australia,Spanish,Family,2015-04-01 21:56:25.397079416,11.99,295,comedy,movies,232,32,15,8162,432,37,credit card,2020-02-05 09:25:27.425485097,1
154,31,female,Canada,Spanish,Family,2015-04-02 12:17:42.932586518,11.99,333,music,news,496,42,39,4997,43,26,credit card,2020-02-05 15:00:45.369073814,0
155,39,female,Canada,Mandarin,Family,2015-04-03 02:39:00.468093619,14.99,174,news,tv shows,241,52,29,188,340,20,debit card,2020-02-05 20:36:03.312662532,1
156,59,female,Australia,Spanish,Individual,2015-04-03 17:00:18.003600720,14.99,173,sports,music,308,17,34,3188,11,25,credit card,2020-02-06 02:11:21.256251250,1
157,54,male,Canada,Mandarin,Family,2015-04-04 07:21:35.539107822,19.99,245,sports,sports,267,2,37,6108,453,36,paypal,2020-02-06 07:46:39.199839968,1
158,52,female,Canada,Mandarin,Family,2015-04-04 21:42:53.074614923,19.99,171,news,news,148,8,44,977,444,41,debit card,2020-02-06 13:21:57.143428685,0
159,21,other,USA,Spanish,Student,2015-04-05 12:04:10.610122025,14.99,154,movies,sports,395,77,30,6393,111,9,paypal,2020-02-06 18:57:15.087017403,0
160,28,male,UK,Mandarin,Family,2015-04-06 02:25:28.145629126,11.99,204,music,news,8,25,7,9169,339,13,debit card,2020-02-07 00:32:33.030606121,1
161,59,other,USA,English,Individual,2015-04-06 16:46:45.681136228,19.99,455,movies,comedy,383,51,23,6166,438,14,paypal,2020-02-07 06:07:50.974194839,1
162,18,female,Canada,English,Individual,2015-04-07 07:08:03.216643329,11.99,4,tv shows,movies,326,10,22,907,220,38,google pay,2020-02-07 11:43:08.917783556,0
163,38,male,USA,German,Family,2015-04-07 21:29:20.752150430,19.99,264,sports,music,452,51,12,4435,375,22,credit card,2020-02-07 17:18:26.861372274,0
164,19,other,Canada,Mandarin,Student,2015-04-08 11:50:38.287657532,19.99,441,tv shows,comedy,109,100,7,9411,454,32,credit card,2020-02-07 22:53:44.804960992,0
165,19,female,UK,Mandarin,Individual,2015-04-09 02:11:55.823164633,14.99,381,news,tv shows,378,38,28,2285,280,27,credit card,2020-02-08 04:29:02.748549709,0
166,22,male,Canada,French,Individual,2015-04-09 16:33:13.358671735,11.99,235,news,movies,306,99,43,5029,481,49,google pay,2020-02-08 10:04:20.692138427,1
167,25,other,Australia,German,Individual,2015-04-10 06:54:30.894178836,11.99,371,music,sports,160,51,48,5721,248,29,google pay,2020-02-08 15:39:38.635727145,1
168,40,male,UK,Mandarin,Individual,2015-04-10 21:15:48.429685937,24.99,60,comedy,comedy,319,96,43,1262,205,18,credit card,2020-02-08 21:14:56.579315863,1
169,24,female,Canada,German,Family,2015-04-11 11:37:05.965193039,19.99,403,tv shows,comedy,131,29,20,7926,424,30,debit card,2020-02-09 02:50:14.522904580,0
